10010000010011101011110000001101,01101110111101110110101000000111,00001101110110111110111010101101
11011110100011010111001001101100,10001100011101010000100010011110,00001111100111100010001101010110
01110111000101111010100010001010,10100011000111000000100011010110,01101010101110001000011101100000
00011011111000110000010100011111,10100000010110101011010110110011,11110001110011111000010111110101
00000111101011000011100111101000,10100010010011100111001011100011,01000001101011010101100011011000
00000010100111010001001001100100,10110101011110110001101011000111,00001001111111110100001011111101
00001001000111011101011010110101,00001101100011011110000000100110,00110111111111100101001101000111
01101101011011001010111100101001,10100011010100111101001110100010,11010110101110001100010100100011
01001111011101110011000011100000,01000110001011010011010001100111,01011001010101000100011111100011
00111111110100110111100110111111,00111111011001111011101111111001,01101010001010101010001110101100
11001100100011010100001101011000,11011110010000100011001010110100,10101101101000000000001110001001
10101011000011100111101111000101,11001000110001101001100100111001,00111001001000001101000100010000
00000111011000101000111100001011,11001001011000110011100101000001,11100111100111001100001100010010
01011110100111000000000111000010,11111000001011011100110010011100,10011010111110111110100010000010
11010101000100101111010001010010,01110111111010011110110111100001,11100100110011011101011100110110
11101101110001011110011011010000,00001011111010000010100101110011,01100110101000001000110011001101
11001011011101001011100000110000,00000110001101000111101110101100,01011110101000100000000101001011
00100001001010111010101100101001,00001100110101101000000111001111,01101001011111000010111011100110
11001000101101111110101010000010,00101001011001100001110101011100,01010100010011000111000111111100
11000111011011010001001111100001,01100000110011000111100001010010,11011010100011100010111010000001

